Leaked composite object at 0x10de31ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x10de32ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x10de32f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x10de32f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x10de32fa0 (tests/leak_test.c:19, sz=12, NORMAL)

Leaked composite object at 0x10de31f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x10de31f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x10de31f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x10de31fb0 (tests/leak_test.c:19, sz=7, NORMAL)

